index,lyrics_features,moods
553,come come um yeah oh w o o come come uh feel like ve lock tight centuri lone night wait releas lick lip blow kiss way don t mean m gonna away babi babi babi babi babi babi oh w h o bodi s say let s oh w h o heart say wanna babi s price pay m geni bottl geni bottl babi yeah gotta rub right way wanna make wish come true gotta make big impress oh yeah gotta like m geni bottl babi gotta rub right way honey m geni bottl babi come come come let music s play light low s danc good wait need hormon race speed light don t mean s gotta tonight yeah babi babi babi babi babi babi oh w h o bodi s say let s oh w h o ooh heart say heart say wanna babi s price pay m geni bottl m geni bottl gotta rub right way wanna woo make wish come true just come set free babi ll m geni bottl babi gotta rub right way honey m geni bottl babi come come come let m geni bottl babi gotta rub right way honey wanna m geni bottl babi come come come let oh w h o come come bodi s say let s oh w h o come heart say wanna babi s price pay m geni bottl m geni bottl gotta rub right way wanna make wish woo come true gotta make big impress gotta like oh yeah wanna babi s price pay uh yeah uh m geni bottl geni bottl gotta rub right way rub right way wanna wanna make wish come true just come set free babi ll m geni bottl babi come come come let,happy
555,know eye morn sun feel touch pour rain moment wander far wanna feel arm come summer breez warm love soft leav s need deep love deep love realli mean learn caus live world fool break let belong believ know door soul your light deepest darkest hour your saviour fall think care know insid realli need deep love deep love realli mean learn caus live world fool break let belong come summer breez warm love soft leav need deep love deep love realli mean learn caus live world fool break let belong deep love deep love realli mean learn caus live world fool break let belong deep love deep love realli mean learn caus live world fool break let,happy
556,hold brain s tick like bomb guess black thought come came sweet bitter word unlik heard sing mockingbird don t affect s right deliv heart strike deliber wait m come undon irat m come undon late m come undon look strong delic wait m start suffoc soon anticip m come undon look strong delic choke choke thought demon friend piti end young tast sorrow tongu sweet sugar gun doe protect s right trigger eye strike make quick wait m come undon irat m come undon late m come undon look strong delic wait m start suffoc soon anticip m come undon look strong delic m tri hold head lighter fuck fuck fuck,aggressive
561,somebodi told world gonna roll ain t sharpest tool shed look kinda dumb finger thumb shape l forehead year start come don t stop come fed rule hit ground run didn t make sens live fun brain get smart head get dumb s wrong take street ll know don t ll shine don t glow hey star game play hey rock star paid glitter gold shoot star break mold s cool place say get colder bundl wait til older media men beg differ judg hole satellit pictur ice skate get pretti water get warm swim world s s way like bore hey star game play hey rock star paid glitter gold shoot star break mold hey star game play hey rock star paid glitter gold shoot star somebodi ask spare chang gas need away place said yep concept use littl fuel use littl chang year start come don t stop come fed rule hit ground run didn t make sens live fun brain get smart head get dumb s wrong take street ll know don t ll shine don t glow hey star game play hey rock star paid glitter gold shoot star break mold,happy
564,wooooo hoooo wooooo hoooo wooooo hoooo wooooo hoooo got head check jumbo jet wasn t easi wooooo hooooooo feel heavi metal wooooo hooooooo m pin m needl wooooo hooooooo lie m easi time sure need pleas meet got head young s problem s problem wooooooooo hooooooo feel heavi metal wooooo hooooooo m pin m needl wooooo hooooooo lie m easi time sure need pleas meet yeah yeah yeah yeah yeah yeah oh yeah,aggressive
576,s realli realli mess week seven day tortur seven day bitter girlfriend went cheat s california dime s time quit la la la la la la doesn t matter la la la oh la la la go tonight tonight s parti rooftop world tonight tonight danc edg hollywood sign don t know ll make watch good ll fake s right right tonight tonight woke strang tattoo sure got dollar pocket kinda look just like mix zach galifianaki la la la la la la doesn t matter la la la oh la la la go tonight tonight s parti rooftop world tonight tonight danc edg hollywood sign don t know ll make watch good ll fake right right tonight tonight got sing like woah come ohh doesn t matter woah everybodi ohh just don t stop let s beat pumpin beat let drop beat s parti danc want crazi let just don t stop let s beat pumpin beat let drop beat s parti danc want crazi let runnin town shakin ground ain t gonna tell caus everybodi woah come ohh anim woah let hear ohh tonight tonight s parti rooftop world tonight tonight danc edg hollywood sign don t know ll make watch good ll fake right right tonight tonight right right tonight tonight yeah right right tonight tonight just sing like woah come ohh parti peopl woah singleton ohh white kid just don t stop let beat pumpin beat let drop beat parti danc want crazi let just don t stop let beat pumpin beat let drop beat parti danc want crazi let,happy
580,long long time ago rememb music use make smile knew chanc make peopl danc mayb d happi februari shiver paper d deliv bad news doorstep couldn t step t rememb cri read widow bride touch deep insid day music die bye bye miss american pie drove chevi leve leve dri good old boy drinkin whiskey rye singin ll day die ll day die did write book love faith god bibl tell believ rock roll music save mortal soul teach danc real slow know love caus saw dancin gym kick shoe man dig rhythm blue lone teenag broncin buck pink carnat pickup truck knew luck day music die start singin bye bye miss american pie drove chevi leve leve dri good old boy drinkin whiskey rye singin ll day die ll day die year ve moss grow fat rollin stone s use jester sang king queen coat borrow jame dean voic came oh king look jester stole thorni crown courtroom adjourn verdict return lenin read book marx quartet practic park sang dirg dark day music die singin bye bye miss american pie drove chevi leve leve dri good old boy drinkin whiskey rye singin ll day die ll day die helter skelter summer swelter bird flew fallout shelter mile high fall fast land foul grass player tri forward pass jester sidelin cast halftim air sweet perfum sergeant play march tune got danc oh got chanc caus player tri field march band refus yield recal reveal day music die start singin bye bye miss american pie drove chevi leve leve dri good old boy drinkin whiskey rye singin ll day die ll day die oh place generat lost space time left start come jack nimbl jack quick jack flash sat candlestick caus devil s friend oh watch stage hand clench fist rage angel born hell break satan s spell flame climb high night light sacrifici rite saw satan laugh delight day music die singin bye bye miss american pie drove chevi leve leve dri good old boy drinkin whiskey rye singin ll day die ll day die met girl sang blue ask happi news just smile turn away went sacr store d heard music year man said music wouldn t play street children scream lover cri poet dream word spoken church bell broken men admir father son holi ghost caught train coast day music die singin bye bye miss american pie drove chevi leve leve dri good old boy drinkin whiskey rye singin ll day die ll day die singin bye bye miss american pie drove chevi leve leve dri good old boy drinkin whiskey rye singin ll day die,happy
584,scar tissu wish saw sarcast mr know close eye ll kiss caus bird ll share bird ll share lone view bird ll share lone view push wall young kentucki girl push bra fall lick heart tast health caus bird ll share lone view bird ll share lone view bird ll share lone view blood loss bathroom stall southern girl scarlet drawl wave goodby ma pa caus bird ll share bird ll share lone view bird ll share lone view soft spoken broken jaw step outsid brawl autumn s sweet fall ll make moon crawl bird ll share lone view bird ll share lone view bird ll share lone view scar tissu wish saw sarcast mr know close eye ll kiss caus bird ll share bird ll share lone view bird ll share lone view bird ll share lone view,happy
588,play fuck track play fuck track oh limp bizkit dmx redman s right method man just rollin babi readi readi readi hand hand tell gonna breath breath hand hand tell gonna rollin rollin rollin rollin uggh rollin rollin rollin rollin rollin rollin rollin rollin uggh know lovin shit right l m p bizkit right peopl hous hand air caus don t care don t care ain t give fuck press luck untouch brand unfuck cage run mouth play break fuck ll s left round x bring just know s red meth fuck punk shut fuck fuck fuck track readi oh thought promot check danger slang atroci let nut hang focus s wutang fuck s hooti blowfish wave black flag roach approach twin supersoak poison dart coper late blowgun unholst lept light light toast drink smoke cut shut fuck roll motherfuck turn gold caus platinum m jackin nigger limo ain t nothin bullet unbutton cloth wretch yellow mellow tissu nose bitch swing vine bad boom nut m hairi hell ah hell tattoo m dog fuck bathroom highschool dealt classroom slut johnni donni brasco talk gat low cut cash flow yell want money funni hungri ll snatch crumb dark hard mix bodi mosh pit yo m d o lookin raw invent friday spit thirti minut smell bathroom like craig paul end whore s match crack em guin fuck thug player ball brick citi shaolin better em sinner boy ll run white mall spill yo peac come just don t darker kid parka ahead boot shoot make spark m fair nigger ain t nigger quicker hair trigger took dead nigger d better like yo man tri hold breath head caus ll shit caus dead funer won t need casket m leav just stuff basket skippin task m gonna need ass kick mom let forget m bastard ain t shit ain t gonna shit s shit shit d shit d sharp wanna s m gonna right ll run wait man stand yeah nigger ain t run fuck thing mouth wanna mess limp bizkit yeah t mess limp bizkit day night oh platinum thing right uh huh do time d better better beat uh better rhyme d oh realli realli realli wanna shit start peopl just retard retard peopl just retard s right babi punk limp bizkit dmx method man red man swizz beat fuck punk shit,aggressive
589,bintang coba kau sampaikan rindu ini padanya bintang kini kau menjadi saksi kisah cintanya malam semakin gelap dan ku terus membaca bahasa hati yang tak pernah kau dapat mengerti ku rangkum sebuah kisah beribu cerita berjuta canda dan tawa saat kita bersama matahari terlelap dan langit pun mengelap ku tutup jendela dan ku coba lupakan saja terdiam ku sejenak rasa gundah di dalam hati terima kasih kau tak akan pernah terlupa ku rangkum sebuah kisah beribu cerita berjuta canda dan tawa saat kita bersama matahari terlelap dan langit pun mengelap ku tutup jendela dan ku coba lupakan saja terdiam ku sejenak rasa gundah di dalam hati terima kasih kau tak akan pernah terlupa terima kasih kau tak akan pernah terlupa,happy
594,doe feel like night today s right today uptight today paranoia s got left don t know stress pressur fed know just feel like voic head s like face hold insid face awak close eye face watch time lie face laugh time fall watch know s time sink swim face insid hear right underneath skin s like m paranoid lookin s like whirlwind insid head s like t stop m hear s like face insid right beneath skin know ve got face point mistak ve got face insid paranoia s probabl wors don t know set know t stand everybodi act like fact matter t add everybodi face hold insid face awak close eye face watch time lie face laugh time fall watch know s time sink swim face insid watch right insid skin s like m paranoid lookin s like whirlwind insid head s like t stop m hear s like face insid right beneath skin s like m paranoid lookin s like whirlwind insid head s like t stop m hear s like face insid right beneath skin face insid right beneath skin face insid right beneath skin face insid right beneath skin sun goe feel light betray sun goe feel light betray s like m paranoid lookin s like whirlwind insid head s like t stop m hear s like face insid right beneath skin s like m paranoid lookin s like whirlwind insid head s like t stop m hear s like t stop m hear s like t stop m hear s like face insid right beneath skin,aggressive
600,ll life ll ll musket ll run wait attack d better stand s turn bugl sound charg begin battlefield win smell acrid smoke hors breath plung certain death oh oh hors sweat fear break run mighti roar russian gun race human wall scream pain comrad fall hurdl bodi lay ground russian round near far away meant fight day oh oh close near fight russian get sight pull trigger feel blow burst round hors lay gaze sky bodi s numb throat dri lay forgotten tear draw part groan oh oh,aggressive
601,tri make life way s tri make lie s just don t deni dont tri fight deal s just dead aliv don t care don t care just leav caus swear swear don t care tri make tri stay line eye right s m get buri place ive got room face don t say just away dead aliv don t care don t care just leav caus swear swear don t care chang caus won t chang caus won t dead aliv don t care don t care just leav caus swear swear don t care dead aliv don t care don t care don t care don t care just leav don t care swear don t care,aggressive
604,known better let s time like t make wast day sleepless night t wait spend time wait tell babe s wall need tell s right caus don t think anymor love m feel love ve search love dream love caus s realli got hold hold t stop feel ve way ve key open door feel love grow stronger day day t wait hold arm love m feel love ve search love love dream love caus s realli got hold hold love m feel love ve search love love dream love ve search love love dream love ve search love love dream love ve search love love dream love ve search love love dream love ve search,aggressive
606,hold roll unfamiliar road wave string just know caus m go make place home settl ll clear don t pay mind demon fear troubl drag lost just know caus m go make place home settl ll clear don t pay mind demon fear troubl drag lost just know caus m go make place home,happy
607,sha la la la la la la hmm uh huh new amsterdam stare yellow hair girl mr jone strike convers black hair flamenco dancer know danc father play guitar s sudden beauti want beauti man wish beauti come danc silenc mornin sha la la la la la la la yeah uh huh yeah curl maria spanish dancin pass bottl mr jone believ help believ caus wanna believ yeah mr jone tell fairi tale stare beauti women s look ah s look smile bright light come stereo everybodi love lone m gonna paint pictur paint blue red black gray beauti color meaning yeah know gray favorit color felt symbol yesterday knew picasso buy gray guitar play mr jone look futur yeah stare beauti women s look don t think s look stand spotlight bought gray guitar everybodi love lone lone son m gonna lone wanna lion e everybodi want pass cat wanna big big star yeah ve got differ reason believ caus don t believ wanna believ believ believ yeah mr jone stumbl barrio yeah stare beauti women s perfect man s got somebodi wanna bob dylan mr jone wish just littl funki everybodi love oh son s just bout funki mr jone stare video look televis wanna stare right wanna big star don t know don t know everybodi love wanna just bout happi mr jone gonna big star,happy
609,usher babi just wanna attent realli wanna love head coz got don t wanna yeah girl s ain t scare refrain won t knock ring bell just float air ll hot know oh m walk wanna hear chorus say daddi s home home know ve wait love day know daddi s home daddi s home s time play s time play ain t got love away ladi say hey hey hey daddi hey hey hey daddi ladi say hey hey hey daddi hey hey hey daddi ain t gotta lot flex shorti know girl tonight ll gonna lot sexin t bodi like ohh refrain won t knock ring bell just float air said ll hot know oh m walk wanna hear chorus say daddi s home home know ve wait love day know daddi s home daddi s home s time play s time play ain t got love away ladi say hey hey hey daddi daddi know like hey hey hey daddi ladi say hey hey hey daddi hey hey hey daddi poke poke right m fall work chair damn thing let neighbor hear poke poke right m fall let work chair damn thing wanna hear chorus say daddi s home home know ve wait love day know daddi s home daddi s home s time play s time play ain t got love away daddi s home home know ve wait love day know daddi s home daddi s home s time play s time play ain t got love away ladi say hey hey hey daddi hey hey hey daddi daddi babe ladi say hey hey hey daddi hey hey hey daddi hey daddi know like yeah,happy
616,don t know came tonight ve got feel ain t right m scare case fall chair m wonder ll stair clown left joker right stuck middl yes m stuck middl m wonder s hard smile face lose control run place clown left joker right stuck middl start proud self man ooooo ooo oooh friend come crawl slap say tri make sens make sens cool sleep floor don t think anymor clown left joker right stuck middl start proud self man ooooo ooo oooh friend come crawl slap say don t know came tonight ve got feel ain t right m scare case fall chair m wonder ll stair clown left joker right stuck middl yes m stuck middl yes m stuck middl yes m stuck middl yes m stuck middl да я совсем запутался с тобой и понятия не имею что мне делать трудновато убрать эту ухмылку с лица я теряю контроль да я повсюду клоуны слева от меня шуты справа а я посередине совсем запутался с тобой что ж ты начинаешь с нуля гордишься тем что добился всего сам и твоя семья приходит по первому зову хлопает тебя по спине и говорит пожалуйста я пытаюсь найти в этом какой то смысл но смысла похоже нет интересно как оно спать на полу по моему мне этого больше не выдержать клоуны слева от меня шуты справа а я посередине совсем запутался с тобой что ж ты начинаешь с нуля гордишься тем что добился всего сам и твоя семья приходит по первому зову хлопает тебя по спине и говорит пожалуйста что ж я не знаю зачем пришел сегодня сюда я просто чувствую что что то идет не так я буду напуган если упаду со стула интересно как я буду спускаться по лестнице клоуны слева от меня шуты справа а я посередине совсем запутался с тобой,happy
617,said s left say anymor s ask bubbl bubbl bitch bitch rebel rebel parti parti sex sex sex don t forget violenc blah blah blah got lovey dovey sad lone stick stupid slogan everybodi sing babbl babbl bitch bitch rebel rebel parti parti sex sex sex don t forget violenc blah blah blah got lovey dovey sad lone stick stupid slogan everybodi sing motherfuck readi new shit stand admit tomorrow s come new shit stand admit want yeah new shit stand admit bubbl bubbl bitch bitch rebel rebel parti parti sex sex sex don t forget violenc blah blah blah got lovey dovey sad lone stick stupid slogan everybodi sing said s left say s ask motherfuck readi new shit stand admit tomorrow s come new shit stand admit want yeah new shit stand admit s know got know stick know know don t care s know got know stick know know don t care s know got know stick know know don t care s know got know stick know know don t care bubbl bubbl bitch bitch rebel rebel parti parti sex sex sex don t forget violenc blah blah blah got lovey dovey sad lone stick stupid slogan everybodi sing motherfuck readi new shit stand admit tomorrow s come new shit stand admit want yeah new shit stand admit let entertain let entertain let entertain let entertain blah blah blah blah everybodi sing,aggressive
625,throw hand air say ayo gotta let wanna celebr live life say ayo babi let s came danc danc danc danc hit floor caus s plan plan plan plan m wear favorit brand brand brand brand space hand hand hand hand yeah yeah caus goe goe yeah throw hand air say ayo gotta let wanna celebr live life say ayo babi let s caus gon rock club gon night gon light like s dynamit caus told told twice gon light like s dynamit came way crew crew crew crew m club m gonna just fuck came yeah yeah caus goe goe yeah throw hand air say ayo gotta let wanna celebr live life say ayo babi let s caus gon rock club gon night gon light like s dynamit caus told told twice gon light like s dynamit m gonna m gonna stand higher m gonna land caus believ just want just want m gonna hand air hand hand air hand air throw hand air say ayo gotta let wanna celebr live life say ayo babi let s caus gon rock club gon night gon light like s dynamit caus told told twice gon light like s dynamit,happy
626,afraid petrifi kept thinkin live spent night think did wrong grew strong learn outer space just walk sad look face chang stupid lock leav key known just second d bother walk door just turn caus welcom anymor weren t tri hurt goodby did think d crumbl did think d lay die oh surviv oh long know love know ll stay aliv ve got life live ve got love ll surviv surviv hey hey took strength fall apart kept tryin hard mend piec broken heart spent oh night just feel sorri use hold head high somebodi new m chain littl person love felt like drop just expect free m savin lovin s lovin walk door just turn caus welcom anymor weren t tri break goodby did think d crumbl did think d lay die oh surviv oh long know love know ll stay aliv ve got life live ve got love ll surviv surviv oh walk door just turn caus welcom anymor weren t tri break goodby did think d crumbl did think d lay die oh surviv oh long know love know ll stay aliv ve got life live ve got love ll surviv surviv surviv,happy
628,red red wine head make forget need red red wine s ve mem rie won t mem rie won t d thought time thought leav head wrong just thing make forget red red wine stay close don t let s tearin apart blue blue heart d thought time thought leav head wrong just thing make forget red red wine stay close don t let s tearin apart blue blue heart red red wine stay close don t let s tearin apart blue blue heart,happy
629,아직 난 널 잊지 못하고 모든 걸 다 잊지 못하고 이렇게 널 보내지 못하고 오늘도 다시 만들어 볼게 우리 이야기 끝나지 않게 아주 기나긴 살갗을 파고 스며드는 상실감은 잠시 묻어두길 새로 써내려가 시작은 행복하게 웃고 있는 너와 나 니가 날 떠나지 못하게 배경은 출구가 없는 좁은 방 안 아무렇지 않게 네게 키스하고 달콤한 너의 곁을 떠나가질 못해 우린 끝이라는건 없어 이렇게 난 또 fiction fiction fiction 잊지 못하고 fiction fiction fiction 내 가슴 속에 끝나지 않을 이야길 쓰고 있어 널 붙잡을게 fiction fiction fiction 놓지 않을게 fiction fiction fiction 끝나지 않은 너와 나의 이야기 속에서 오늘도 fiction 지금 여긴 행복한 이야기들밖에 없어 너무 행복한 우리 둘 만의 이야기가 이렇게 현실과는 다르게 써있어 점점 채워지고 있어 너는 나에게로 달려와서 안기고 품 안에 안긴 너를 나는 절대 놓질 못해 우린 끝이라는건 없어 이렇게 난 또 fiction fiction fiction 잊지 못하고 fiction fiction fiction 내 가슴 속에 끝나지 않은 이야길 쓰고 있어 널 붙잡을게 fiction fiction fiction 놓지 않을게 fiction fiction fiction 끝나지 않은 너와 나의 이야기 속에서 오늘도 fiction 다시 한 번 더 말하지만 지금 너는 내옆에 있다고 그렇게 믿고 있어 난 난 목적을 잃어버린 작가 그 소설의 끝은 어떻게 마무리 지어야해 사랑해 사랑해 사랑해 사랑해 사랑해 이 세글자만 써내려가 무뎌진 펜 눈물로 얼룩진 낡은 종이 위로 행복할 수도 슬플 수도 없어 이 이야기는 지금 난 너무나도 행복한 생각에 이야기를 쓰지만 모든게 바람일 뿐이라고 여전히 난 행복한 걸 fiction fiction fiction 우린 함께인걸 fiction fiction fiction 이제 시작인걸 fiction fiction fiction 끝은 없는걸 fiction fiction fiction,happy
635,pass moment thought run head everytim m near realiz heaven sent think truli special just dream realli let s stay boy s like oh babi realli like ve t realli explain m way hold thing say oh m sure boy know like feel way think truli special just dream realli let s stay boy s like oh babi realli like ve t realli explain m oh realli like feel m dream come true don t leav cuz feel right realli like ve t realli explain m,happy
644,ve waitin day ya babe won t come sit talk tell gonna hope know s late night hold pillow tight think promis forev thought make feel way boy want just chanc say leav right s end s late t wait gone caus know wonder bought lie said treat right just wast time wast time tell lookin confus m didn t know truth cold friend boy gone bump head left number phone ve said mayb m blame think didn t work way leav right s end s late t wait gone caus know wonder bought lie said treat right just wast time wast time want right choic gotta leav heart breakin word m sayin gave just wouldn t refus tear fall eye leav right s end s late t wait gone caus know wonder bought lie said treat right just wast time wast time leav right s end s late t wait gone caus know wonder bought lie said treat right just wast time wast time leav s late said treat right just wast time,happy
648,robert s got quick hand ll look room won t tell plan s got roll cigarett hang mouth s cowboy kid yeah shooter gun dad s closet box fun thing don t know s come yeah s come kid pump kick better run better run outrun gun kid pump kick better run better run faster bullet kid pump kick better run better run outrun gun kid pump kick better run better run faster bullet daddi work long day come home late yeah s come home late s bring surpris caus dinner s kitchen s pack ice ve wait long time yeah slight hand quick pull trigger reason cigarett say hair s lost wit yeah kid pump kick better run better run outrun gun kid pump kick better run better run faster bullet kid pump kick better run better run outrun gun kid pump kick better run better run faster bullet kid pump kick better run better run outrun gun kid pump kick better run better run faster bullet kid pump kick better run better run outrun gun kid pump kick better run better run faster bullet kid pump kick better run better run outrun gun kid pump kick better run better run faster bullet,happy
654,oh oh oh oh oh yeah relationship life pain strife turn gone fast oh yeah gone fast yeah oh hold one realli care end ll one old start lose hair tell care tell care oh care mmmbop ba duba dop ba du bop ba duba dop ba du bop ba duba dop ba du yeah mmmbop ba duba dop ba du bop ba du dop ba du bop ba du dop ba du yeah oh yeah mmmbop gone yeah yeah plant seed plant flower plant rose plant plant grow s secret know s secret know oh know mmmbop ba duba dop ba du bop ba duba dop ba du bop ba duba dop ba du yeah mmmbop ba duba dop ba du bop ba du dop ba du bop ba du dop ba du yeah oh yeah oh mmm bop gone oh yeah oh mmmbop gone mmm bop mmmbop gone mmm bop mmmbop gone mmmbop mmmbop gone mmmbop lose hair oh don t care mmmbop ba duba dop ba du bop ba duba dop ba du bop ba duba dop ba du yeah mmmbop ba duba dop ba du bop ba du dop ba du bop ba du dop ba du yeah yeah oh yeah oh oh hold one realli care end ll one hen old start lose hair tell care tell care oh care mmmbop ba duba dop ba du bop ba duba dop ba du bop ba duba dop ba du yeah mmmbop ba duba dop ba du bop ba du dop ba du bop ba du dop ba du care tell oh t caus don t know tell oh say don t know tell oh flower s go grow t caus don t know tell oh s go daisi rose say don t know tell oh flower s go grow t caus don t know tell oh say don t know oh yeah say don t know dont know dont know oh mmmbop ba duba dop ba du bop ba duba dop ba du bop ba duba dop ba du yeah mmmbop ba duba dop ba du bop ba du dop ba du bop ba du dop ba du care oh u tell oh t caus don t know u tell oh say don t know u tell oh t caus don t know u tell say don t know,happy
655,skip light fandango turn cartwheel cross floor feel kinda seasick crowd call room hum harder ceil flew away call drink waiter brought tray later miller told tale face just ghost turn whiter shade pale said reason truth plain wander play card let sixteen vestal virgin leav coast eye open wide just close later miller told tale face just ghost turn whiter shade pale later miller told tale face just ghost turn whiter shade pale later miller told tale face just ghost turn whiter shade pale said m shore leav mile sea point forc agre say mermaid took king neptun ride smile sweet anger straightway die later miller told tale face just ghost turn whiter shade pale music food love laughter s queen likewis dirt truth clean mouth like cardboard slip straight head crash dive straightway quick attack ocean bed later miller told tale face just ghost turn whiter shade pale,happy
659,t m easili bother persist step lash want skin friend ve got friend like standard anymor take ve belong t stay away lesson learn life known dawn time respect walk did say respect walk talk talk rock mouth m s easi achiev weak friend sympath hear violin play song friend tell word standard anymor take ve belong t stay away lesson learn life known dawn time respect walk did say respect walk talk respect walk did say respect walk talk talk way punk respect walk did say respect walk talk respect walk did say respect walk talk talk walk home boy,aggressive
663,beauti beauti hop bike let good wind blow hair ass like smile bright oh kill know ain t fair ride middl night let moonlight kiss skin danc like jean tight oh kill babi beauti mind ing beauti t pretend doesn t mean thing beauti good lord ing beauti t pretend doesn t mean thing like run red light don t stop til thrill oh thrill control don t know don t care caus s beauti ooh make feel undress t pretend doesn t mean thing oh beauti mind ing beauti t pretend doesn t mean thing yes beauti lord ing beauti t pretend doesn t mean thing beauti know beauti beauti,happy
665,hey m feel tire time gone today flirt suicid s ok say m stand hollow fall away fall away day fade s m insan enslav flirt suicid kill pain say s gonna better tomorrow fall away fall away beat beat beat ground scream sound beat beat ground fall away s spin round round fall away s lost t fall away s spin round round fall away slow beat beat beat ground scream sound beat beat ground press won t away pray away life s fall way s fall away life s fall away fuck beat beat beat ground scream sound beat beat ground,aggressive
666,superstit fear jealousi dead extermin son slip tree strangl breez dead sky watch angel slowli turn conquer worm dig ditch burn witch slam dragula dig ditch burn witch slam dragula dead pool spread fool weak want need bleed dead rat feast cat tender fur die purr dig ditch burn witch slam dragula dig ditch burn witch slam dragula babi babi babi babi burn like anim dead light dig skin knuckl crack bone win dead dog hound hell devil die dig ditch burn witch slam dragula dig ditch burn witch slam dragula babi babi babi babi burn like anim dig ditch burn witch slam dragula dig ditch burn witch slam dragula dig ditch burn witch slam dragula,aggressive
673,don t look like movi star ooh think good just way tell run away don t roll like millionair babi don t need gold ll shine ll know t like don t stop till c mon turn till speaker pop break ve got ooh babi don t shi spark flash eye heart beat fast caus want babi come ooh la la hand night spin round just way like feel good don t wanna stop babi come ooh la la don t wear design cloth just long danc floor finger hair m let tonight free know t like don t stop till c mon turn till speaker pop break ve got ooh babi don t shi spark flash eye heart beat fast caus want babi come ooh la la hand night spin round just way like feel good don t wanna stop babi come ooh la la oh la la oh la la oh la la oh la la oh la la oh la la oh la la oh la la oh la la oh la la oh la la oh la la oh la la oh la la oh la la oh la la ooh babi don t shi spark flash eye ooh babi don t shi spark flash eye heart beat fast caus want babi come ooh la la hand night spin round just way like feel good don t wanna stop babi come ooh la la babi come ooh la la babi come ooh la la,happy
675,hold littl girl s stand littl girl broken heart t bad s s fate twist come babi come let m want deep insid hope feel wait line green blue just build confid wake care littl boy talk ve seen game love rain come babi come let hold m want deep insid hope feel wait line green blue just babi make life worthwhil make start smile s s fate twist come babi come let m want deep insid hope feel wait line green blue just m want deep insid hope feel wait line green blue just just,happy
677,gone gone gone phillip phillip life leav high dri ll door tonight need help need help ll shut citi light ll lie cheat ll beg bribe make make enemi door ll carri way need help need help hope dangl string ll share suffer make make reason believ babi m move love long gone sleep love long gone long gone gone gone fall like statu m gon catch feet feet thing prevent tell need need surrend honest ve babi m move love long gone sleep love long gone long gone gone gone bone cornerston crutch leg stop move headstart rug heart poke ve need like drum babi don t stop beat like drum babi don t stop beat like drum babi don t stop beat like drum heart stop beat babi m move love long gone sleep love long gone babi m move love long gone sleep love long long gone like drum babi don t stop beat like drum babi don t stop beat like drum babi don t stop beat like drum heart stop beat long gone gone gone love long gone gone gone wattenberg gregg fuhrmann derek clark todd,happy
681,ve felt air rise kneel clear stone leav wander t insid shell wait bleed ve felt air rise kneel clear stone leav wander t insid shell wait bleed goodby wipe tile light brighter time 3 d blasphemi eye red gold hair stand straight way pictur t control shake hell did wrong laugh loud wish didn t like dream memori ve felt air rise kneel clear stone leav wander t insid shell wait bleed outta head cuz don t need didn t m victim manchurian candid sin just makin mind takin breath away ve felt air rise kneel clear stone leav wander t insid shell wait bleed ve felt air rise kneel clear stone leav wander t insid shell wait bleed goodby haven t learn thing haven t chang thing flesh bone pain run free haven t learn thing haven t chang thing flesh bone pain run free ve felt air rise kneel clear stone leav wander t insid shell wait bleed ve felt air rise kneel clear stone leav wander t insid shell wait bleed orrrrrhhharhhhhhh wait,aggressive
682,listen babi ain t mountain high ain t valley low ain t river wide babi need matter matter far don t worri babi just ll hurri don t worri caus babi ain t mountain high ain t valley low ain t river wide get babi rememb day set free told count darl day vow ll want way caus babi ain t mountain high ain t valley low ain t river wide get babi oh darl wind rain winter cold stop babi babi caus love troubl ll doubl just send oh babi love aliv way heart mile apart need help hand ll doubl just fast don t know ain t mountain high ain t valley low ain t river wide get babi don t know ain t mountain high ain t valley low ain t river wide ain t mountain high ain t valley low,happy
694,oh say ll m give joy bring swear time convers decid friend hey go round circl tell déjà vu end oh tell fall love thought eh time gotta easi throw far emot fool fall gotta make understand m give joy bring swear ll want promis say ow say won t sing friendship oh t work equat guess ll door need say love better left unsaid m m give ll joy bring joy bring swear yes swear want want promis ll promis yeah want fool fall gotta make understand ll swear just promis ll m give m give joy bring joy bring swear yes swear want want promis want promis m give m give joy bring joy bring swear yes swear want want promis want promis m give m give joy bring joy bring swear yes swear want want promis want promis,happy
